id,type
YBX1,protein
MMP24-AS1,protein
PIM1,protein
CMC4,protein
MTCP1,protein
SIK2,protein
AKT3,protein
BCL7A,protein
C2orf42,protein
CCHCR1,protein
CERK,protein
DUSP19,protein
ENSG00000220949,protein
FAM127C,protein
GNL3L,protein
KLHL35,protein
LONRF1,protein
POLDIP2,protein
PPL,protein
SNX20,protein
TEKT4,protein
TMSB10,protein
TMSB4X,protein
TMSB4XP1,protein
TMSB4XP2,protein
TMSB4XP6,protein
TTC23,protein
USP20,protein
WIPF1,protein
ZFYVE26,protein
ZMAT1,protein
ZNF175,protein
BANP,protein
KRTAP10-5,protein
KRTAP4-2,protein
ALDH4A1,protein
ALDOC,protein
IFNA4,cytokine
ALDOB,protein
ALKBH3,protein
CEP57L1,protein
CEP63,protein
HHIPL2,protein
MAD1L1,protein
MEOX1,protein
SYCE1,protein
CEBPA,protein
ALPL,protein
KRTAP4-12,protein
KRTAP5-9,protein
IPO13,protein
FHL3,protein
AMER1,protein
AMMECR1L,protein
AMOT,protein
CCNDBP1,protein
ARL16,protein
CCDC67,protein
PPP3CC,protein
ANAPC1,protein
ANGPTL4,protein
ANK3,protein
ANKFY1,protein
ANKHD1,protein
ANKRD13A,protein
ANKRD36BP1,protein
ANKRD50,protein
ANKS6,protein
ANKZF1,protein
CEP55,protein
PDCD6,protein
ANXA3,protein
PADI4,protein
ANXA7,protein
ANXA9,protein
AP1M2,protein
AP1S2,protein
KPNA2,protein
MEA1,protein
NEU4,protein
RAPGEF3,protein
THAP1,protein
U2AF1,protein
XRCC6BP1,protein
AP5Z1,protein
APBA3,protein
APBB1,protein
APBB1IP,protein
MAPRE1,protein
APCS,protein
IST1,protein
MIR125B2,protein
MIR133B,protein
APEX2,protein
APH1A,protein
APLF,protein
CMTM5,protein
CATSPER1,protein
APOE,protein
APOOL,protein
APRT,protein
ARFGAP1,protein
ARFIP2,protein
ARHGEF40,protein
ARID3A,protein
ARL4C,protein
ARMC1,protein
ARNT2,protein
ARPC1B,protein
ASPSCR1,protein
ASXL1,protein
ASXL2,protein
ATP6V1G1,protein
ATXN7L3,protein
AURKA,protein
AVPI1,protein
BAIAP2,protein
BBX,protein
BCAR3,protein
BCAT2,protein
BCL7C,protein
BLOC1S1,protein
BLOC1S2,protein
BLOC1S5,protein
BOD1,protein
BRD3,protein
BRWD1,protein
C11orf63,protein
C17orf85,protein
C1orf87,protein
C7orf55-LUC7L2,protein
C9orf41,protein
CACNB1,protein
CAPNS2,protein
CARF,protein
CASZ1,protein
CCDC106,protein
CCDC115,protein
CCDC15,protein
CCDC59,protein
CCDC60,protein
CCNB1IP1,protein
CCNB3,protein
CCNL1,protein
CCSER2,protein
CD74,receptor
CDC20,protein
CDK16,protein
CDK17,protein
CDKL3,protein
CELF2,protein
CEP57,protein
CHGB,protein
CHKA,protein
CIRH1A,protein
CLEC3B,protein
CLIP4,protein
CMAS,protein
COASY,protein
COIL,protein
COPS7B,protein
COX6A2,protein
CPLX2,protein
CPLX3,protein
CRADD,protein
CRIP2,protein
CRYAB,protein
CSAG1,protein
CSNK1D,protein
CSNK1E,protein
CTF1,protein
CTNND1,protein
CWC15,protein
CWF19L2,protein
DCDC2,protein
DCTN6,protein
DCX,protein
DDHD2,protein
DDX1,protein
DDX18,protein
DDX19B,protein
DDX42,protein
DDX43,protein
DDX47,protein
DDX55,protein
DEDD,protein
DEF6,protein
DENND6B,protein
DFFB,protein
DIRAS1,protein
DMTN,protein
DNAH1,protein
DNAJB1,protein
DNAJC8,protein
DNM1,protein
DNM2,protein
DPY19L2P1,protein
DPY19L2P4,protein
DUS3L,protein
DYNLRB2,protein
E2F8,protein
ECHDC1,protein
ECHDC2,protein
ECI2,protein
EEPD1,protein
EIF1AX,protein
EIF2B5,protein
EIF2S2,protein
EIF5,protein
ELK3,protein
ENO3,protein
ENY2,protein
EPB41L2,protein
EPB41L4A,protein
EPB41L5,protein
ERMN,protein
ETV3,protein
FAM126B,protein
FAM32A,protein
FAM53A,protein
FAM64A,protein
FANCI,protein
FANCM,protein
FCHO1,protein
FEN1,protein
FGF12,protein
FGF16,protein
FIP1L1,protein
FMNL1,protein
FUBP3,protein
GADD45GIP1,protein
GAK,protein
GALK1,protein
GBA2,protein
GIMAP4,protein
GJB1,protein
GLRX5,protein
GNL2,protein
GOLGA4,protein
GORAB,protein
GOSR2,protein
GPANK1,protein
GPKOW,protein
GPT2,protein
GTPBP1,protein
GYG2,protein
GYS1,protein
HADH,protein
HBG1,protein
HBS1L,protein
HDDC3,protein
HERPUD1,protein
HEYL,protein
HINT2,protein
HIST1H2BA,protein
HK1,protein
HOMER2,protein
HP1BP3,protein
HS3ST1,protein
HSPB7,protein
HSPBP1,protein
IER3,protein
IFRD2,protein
IKBIP,protein
IMP4,protein
ING2,protein
IQCH,protein
ISL1,protein
ITGB3BP,protein
KCNAB1,protein
KCNAB3,protein
KCNN3,protein
KCTD18,protein
KIF2C,protein
KIF3B,protein
KLC2,protein
KLC4,protein
KLF12,protein
KRTCAP2,protein
LACRT,protein
LAP3,protein
LARP1B,protein
LARP4,protein
LARP6,protein
LARP7,protein
LATS1,protein
LIMA1,protein
LMCD1,protein
LMNTD1,protein
LRRC59,protein
LRRC8D,protein
LSM6,protein
LYRM7,protein
MAGEH1,protein
MAP2,protein
MAP9,protein
MAPK13,protein
MAPK7,protein
MED24,protein
MED8,protein
MESDC2,protein
MND1,protein
MOB1A,protein
MOB3A,protein
MOB3C,protein
MPG,protein
MPP3,protein
MRPL1,protein
MRPL10,protein
MRPL11,protein
MRPL19,protein
MRPL28,protein
MRPL34,protein
MRPL35,protein
MRPL49,protein
MRPS18A,protein
MRPS24,protein
MTG1,protein
MXI1,protein
MYBBP1A,protein
MYL5,protein
NAT6,protein
NBPF3,protein
NECAP1,protein
NEDD9,protein
NKIRAS1,protein
NME3,protein
NMT2,protein
NOB1,protein
NOL7,protein
NR1D1,protein
NSRP1,protein
NUSAP1,protein
OCEL1,protein
OLFML2A,protein
OR2W1,protein
OR8B3,protein
ORC6,protein
OSBPL11,protein
OTX2,protein
PACRG,protein
PAK4,protein
PAPSS2,protein
PCBD2,protein
PCK1,protein
PDE4D,protein
PDZD4,protein
PHF20L1,protein
PHF7,protein
PHYH,protein
PIP4K2C,protein
PLA2G4D,protein
PLEKHJ1,protein
PLEKHO2,protein
PNKD,protein
PNKP,protein
POGK,protein
POGZ,protein
POLD3,protein
POLE3,protein
POLR2K,protein
POP7,protein
PP2D1,protein
PPAN,protein
PPFIBP2,protein
PPID,protein
PRDX5,protein
PRR14,protein
PRR15,protein
PRR16,protein
PRRC1,protein
PRSS23,protein
PSMA1,protein
PSRC1,protein
PTP4A1,protein
PTPN12,protein
PTPN7,protein
PYCR2,protein
QKI,protein
RAB40B,protein
RAD51AP1,protein
RASGRP3,protein
RASL11B,protein
RASL12,protein
RBM42,protein
RGL1,protein
RGS10,protein
RGS3,protein
RGS5,protein
RIPPLY1,protein
RNF32,protein
RNF41,protein
RNMTL1,protein
RNPC3,protein
ROPN1L,protein
RP9,protein
RPF2,protein
RPL12,protein
RPL23,protein
RPL31,protein
RPL36,protein
RPL41,protein
RPS10,protein
RPS11,protein
RPS12,protein
RPS16,protein
RPS19,protein
RPUSD2,protein
RRP15,protein
RSRC2,protein
RUSC1,protein
SAMHD1,protein
SART1,protein
SCEL,protein
SCYL1,protein
SDC1,protein
SECISBP2,protein
SEPT5,protein
SEPT9,protein
SERBP1,protein
SERP1,protein
SERPIND1,protein
SETBP1,protein
SF3B6,protein
SH3GL2,protein
SH3GLB1,protein
SH3RF2,protein
SIRT5,protein
SIRT7,protein
SLAIN2,protein
SLC4A1AP,protein
SMAP1,protein
SMTNL2,protein
SMUG1,protein
SNRNP70,protein
SP2,protein
SPANXN3,protein
SPATA2,protein
SPZ1,protein
SRRT,protein
STAC,protein
STK25,protein
STK40,protein
STXBP1,protein
SURF2,protein
SYCP2L,protein
TACO1,protein
TAF1B,protein
TAF9B,protein
TARBP2,protein
TASP1,protein
TBC1D10C,protein
TBCC,protein
TBPL1,protein
TCEA1,protein
TCEAL2,protein
TCF19,protein
TCP10,protein
TCP10L,protein
TCP11,protein
TCP11L1,protein
TEN1-CDK3,protein
TFPT,protein
TIGD1,protein
TIPIN,protein
TK1,protein
TLE3,protein
TMA7,protein
TOM1L2,protein
TOX2,protein
TPD52L3,protein
TPH1,protein
TPRXL,protein
TRAF3IP1,protein
TRAPPC2L,protein
TRIM40,protein
TRIM52,protein
TRIM63,protein
TRMT2A,protein
TRPT1,protein
TRUB1,protein
TSPY2,protein
TSPYL1,protein
TSSC4,protein
TTLL7,protein
TTPA,protein
TWF1,protein
UBE2E2,protein
UBE2S,protein
UBXN10,protein
UBXN6,protein
UCHL1,protein
UCHL5,protein
UNG,protein
USE1,protein
VCY,protein
VPS33B,protein
WASH2P,protein
WDR5,protein
WIBG,protein
ZADH2,protein
ZC3H3,protein
ZFYVE1,protein
ZFYVE27,protein
ZHX2,protein
ZMAT4,protein
ZMYM3,protein
ZMYM5,protein
ZNF22,protein
ZNF365,protein
ZNF574,protein
ZNF622,protein
ZNF684,protein
ZNF706,protein
ZNF740,protein
ZSCAN1,protein
ZW10,protein
APPL2,protein
CCDC136,protein
CCDC36,protein
CEP44,protein
CRTAC1,protein
CSRNP1,protein
IKZF2,protein
KIAA1958,protein
KRT33B,protein
KRTAP9-2,protein
MID2,protein
NBPF22P,protein
RGS17,protein
RGS20,protein
TNK2,protein
FATE1,protein
AQR,protein
ESR2,protein
HHAT,protein
KLK2,protein
PARP1,protein
PKLR,protein
TMPRSS2,protein
ARCN1,protein
ARF1,protein
SDCBP2,protein
ARFGEF2,protein
ARG1,protein
MUC5AC,protein
ARGLU1,protein
ARHGAP12,protein
ARHGAP22,protein
ARHGAP26,protein
ARHGDIB,protein
CEP170P1,protein
KXD1,protein
ARHGEF11,protein
ARHGEF28,protein
ARHGEF3,protein
ARHGEF6,protein
ARID5B,protein
ARL1,protein
ARL2BP,protein
UNC119,protein
CCDC102B,protein
ARL6IP4,protein
ARMC5,protein
MTNR1B,protein
ARPC3,protein
ARPC4,protein
ARPP19,protein
ZBTB43,protein
ZNF496,protein
GNMT,protein
PTAFR,protein
SLC9A1,protein
CAMK1G,protein
ASAH1,protein
ASAP1,protein
ASB10,protein
ASB13,protein
ASB14,protein
ASB18,protein
ASB7,protein
ASCC3,protein
ASCL2,protein
ASH1L,protein
ASH2L,protein
ASPH,protein
GPX7,protein
HILPDA,protein
GTF2B,protein
GTF2E1,protein
TRIM69,protein
WDR27,protein
YTHDC2,protein
BFSP2,protein
GOLGA1,protein
GOLGA8EP,protein
NDC80,protein
XBP1,protein
PIK3R4,protein
FNBP1L,protein
ATG4A,protein
ATG4B,protein
CAPN2,protein
ATG9A,protein
ATIC,protein
ATL3,protein
RPA2,protein
ATOH8,protein
C21orf2,protein
FAM118A,protein
GGPS1,protein
ATP1A3,protein
ATP2B1,protein
ATP5D,protein
ATP5I,protein
ATP5O,protein
ATP6V0B,protein
EDA,protein
PSMA3,protein
SMIM3,protein
ATR,protein
ATRIP,protein
ATRX,protein
ATXN2,protein
ATXN2L,protein
LTBP4,protein
MEGF8,protein
NOC2L,protein
NUP62,protein
AURKC,protein
AVPR2,protein
PIK3R3,protein
RANBP9,protein
MIB1,protein
MTPAP,protein
TXLNGY,protein
HLA-E,protein
KLRC1,protein
MEX3A,protein
USF1,protein
GOLGA8DP,protein
GOLGA8F,protein
BACE1,protein
BACE2,protein
PSMD2,protein
BAG2,protein
BAG3,protein
BAI2,protein
BAI3,protein
BANF1,protein
HCFC1,protein
JMJD6,protein
BRCA2,protein
CEP70,protein
EXOC5,protein
FAM9B,protein
SPAG5,protein
IFI35,protein
MCL1,protein
YAP1,protein
BAZ1B,protein
PSME3,protein
MYOG,protein
BCAP31,protein
BCAS2,protein
RAD50,protein
MYB,protein
PPP2R4,protein
TAF1,protein
CCDC155,protein
BCL6B,protein
BLZF1,protein
CUTC,protein
LIMS3,protein
NFKBIE,protein
NRAS,protein
PEX7,protein
SMARCAL1,protein
TTF1,protein
WDR92,protein
ZBTB7B,protein
BCL9,protein
BCL9L,protein
BCLAF1,protein
MIR30A,protein
NLRP4,protein
VMP1,protein
BEND7,protein
DCTN2,protein
RAP1A,protein
BOLA1,protein
EAF2,protein
EXOSC5,protein
NMB,protein
PPM1K,protein
HIST3H3,protein
TCP1,protein
CCDC33,protein
EFS,protein
FAN1,protein
RPA1,protein
NUDT12,protein
BLNK,protein
BLOC1S5-TXNDC5,protein
HFE2,protein
SF3B4,protein
BNC2,protein
FRK,protein
UPK1B,protein
LDLRAD1,protein
HIST2H2BE,protein
HNRNPUL1,protein
FAM175B,protein
GFI1B,protein
MTF1,protein
BSG,protein
LILRP2,protein
BTBD1,protein
BTBD2,protein
GMPPA,protein
TXLNB,protein
BTG2,protein
TRGV9,protein
FBXO5,protein
BUB3,protein
CDC23,protein
CDCA7L,protein
DOCK8,protein
EPS8,protein
HMBOX1,protein
L3MBTL3,protein
LTV1,protein
LZTS2,protein
MID1,protein
MIPOL1,protein
MRFAP1L1,protein
NECAB2,protein
PDE4DIP,protein
PNMA2,protein
SMN2,protein
SSX2IP,protein
TEKT1,protein
TRIM54,protein
ZBTB8A,protein
BZRAP1,protein
BZW1,protein
C11orf84,protein
C14orf1,protein
C19orf12,protein
CCDC85B,protein
C1QTNF2,protein
C1R,protein
C4A,protein
C4B,protein
C1orf116,protein
C1orf21,protein
C22orf46,protein
C2orf74,protein
CFB,protein
CFH,protein
CR1,protein
CR2,protein
FH,protein
C4BPA,protein
C5,protein
C8orf33,protein
C9orf3,protein
LAMB1,protein
TUBB2B,protein
KCND2,protein
CADM3,protein
CALB1,protein
FMR1,protein
KIAA1407,protein
MAP1LC3C,protein
PRRC2A,protein
CALD1,protein
DAPK1,protein
CALM2,protein
CALM3,protein
CALML3,protein
CAMK2G,protein
CAMK2N1,protein
TNFRSF13B,receptor
KLK5,protein
KLK7,protein
P2RX7,protein
PGC,protein
CAMSAP1,protein
CUL2,protein
CUL4B,protein
FLG,protein
CARD16,protein
RPS6KA1,protein
SGK1,protein
CASC3,protein
CASK,protein
CD247,receptor
DFFA,protein
DDX3X,protein
CAST,protein
CAV2,protein
CBFB,protein
CBX1,protein
CBX2,protein
CBX4,protein
CBX5,protein
CBX6,protein
CBX7,protein
CBX8,protein
CCDC124,protein
ZNF165,protein
CCDC146,protein
CCDC168,protein
CCDC25,protein
CCDC28B,protein
CCDC47,protein
CCDC68,protein
CCDC84,protein
CRMP1,protein
PITPNM3,protein
CCR6,receptor
FPR2,protein
CCL4L1,protein
ITGB1BP1,protein
KRIT1,protein
CCNA1,protein
CCNC,protein
ERCC3,protein
ZBTB17,protein
CCND3,protein
L3MBTL1,protein
SMARCE1,protein
CDK12,protein
PARP12,protein
DEFB103B,protein
DEFB106A,protein
CCR9,receptor
CCS,protein
CCT2,protein
CCT3,protein
CCT4,protein
CCT6A,protein
CCT7,protein
CCT8,protein
CD47,receptor
CD55,receptor
FCGR1A,protein
FCGR3A,protein
CD164,receptor
CD1D,protein
CD1E,protein
CD2,receptor
PTPRC,protein
CD244,receptor
SIGLEC10,protein
PDCD1,protein
CD28,receptor
CD2AP,protein
CD37,receptor
CD3D,protein
CD3E,protein
HYAL2,protein
ROCK1,protein
CD48,receptor
CD5L,protein
FLI1,protein
CD7,receptor
CD80,receptor
CD84,receptor
CDC20B,protein
CDC25B,protein
CDC25C,protein
CDC27,protein
CDC40,protein
CDC42BPG,protein
CDC42EP3,protein
CDC6,protein
EIF4EBP3,protein
MYO6,protein
PTPRF,protein
PARD3,protein
CDIPT,protein
MYT1,protein
FUBP1,protein
GOT2,protein
MATR3,protein
MDH2,protein
MRPL43,protein
MSH2,protein
MT-CO2,protein
SAP18,protein
SFPQ,protein
SLC25A4,protein
SMARCA5,protein
SMC1A,protein
SMC3,protein
SMC4,protein
VDAC1,protein
CDK5RAP2,protein
CDKAL1,protein
EBF3,protein
SIPA1,protein
TP73,protein
DEAF1,protein
TDRD7,protein
CDKN2AIP,protein
CDKN2D,protein
CDYL,protein
CEACAM8,protein
ITGB3,protein
CEACAM5,protein
CSH2,protein
FMO3,protein
LCN2,protein
MIRLET7I,protein
CFD,protein
LPL,protein
SIPA1L1,protein
ZMYM2,protein
CENPJ,protein
CENPW,protein
CEP152,protein
CEP68,protein
CETN3,protein
CFAP43,protein
CFHR4,protein
CFP,protein
FLNA,protein
RAB4A,protein
SLC26A9,protein
SLC36A1,protein
VAMP8,protein
CHAF1A,protein
MBD3L2,protein
CHD4,protein
CHD5,protein
CHERP,protein
CHIT1,protein
CHMP5,protein
CHRM3,protein
CHRM4,protein
CHRNA1,protein
CHST11,protein
CHTF8,protein
CHTOP,protein
MIR15A,protein
CIAO1,protein
CIB1,protein
MYBPC2,protein
PSMD3,protein
RFX5,protein
TPP1,protein
ZNF672,protein
NKAP,protein
CISD1,protein
MIRLET7E,protein
CIT,protein
CITED4,protein
CIZ1,protein
CKAP5,protein
CKS1B,protein
CLDN1,protein
SP3,protein
CLEC4C,protein
CLEC4D,protein
DST,protein
TMOD3,protein
CLGN,protein
CLIC1,protein
EZR,protein
CLK1,protein
CLK4,protein
CLN3,protein
CLN6,protein
CLNS1A,protein
CLPS,protein
CLPTM1,protein
CLPTM1L,protein
CLSPN,protein
CLTA,protein
CLTCL1,protein
MAGEA11,protein
CMSS1,protein
CNBP,protein
CNN3,protein
CNOT2,protein
CNOT7,protein
CNPY2,protein
CNPY3,protein
COG5,protein
COG7,protein
COL11A1,protein
COL16A1,protein
COL17A1,protein
COL3A1,protein
COL4A2,protein
COLEC11,protein
COLGALT2,protein
CPEB4,protein
CRNKL1,protein
CSRP2,protein
DAZAP1,protein
DDX39B,protein
DKC1,protein
DPF2,protein
DROSHA,protein
EIF4A3,protein
ELAVL2,protein
ENSG00000103200,protein
ERH,protein
ESRP1,protein
FAM120A,protein
FAM208A,protein
FAM98A,protein
FAM98B,protein
FBL,protein
FXR2,protein
G3BP2,protein
GCN1L1,protein
GEMIN2,protein
H1FX,protein
HELZ,protein
HELZ2,protein
HIST1H2BD,protein
ILF2,protein
INTS6,protein
KHDRBS3,protein
KRR1,protein
MAGOH,protein
MEPCE,protein
MRTO4,protein
MSI2,protein
MYEF2,protein
NCBP1,protein
NCBP2,protein
NCL,protein
NCOA5,protein
NHP2,protein
NHP2L1,protein
NME1,protein
NOP58,protein
NUFIP2,protein
NUMA1,protein
P4HB,protein
PABPC4,protein
PABPN1,protein
PAIP1,protein
PCNP,protein
PGAM5,protein
PHC3,protein
PHF3,protein
PHF5A,protein
PKP1,protein
PLRG1,protein
POTEE,protein
PPIL1,protein
PRDX4,protein
PTBP3,protein
PTPLAD1,protein
PURA,protein
PURB,protein
PYCR1,protein
RBFOX2,protein
RBM14,protein
REPIN1,protein
RING1,protein
RSRC1,protein
RTCB,protein
SAFB2,protein
SART3,protein
SCAF11,protein
SCMH1,protein
SERPINB12,protein
SLTM,protein
SMU1,protein
SNW1,protein
SON,protein
SRP14,protein
SRP9,protein
STAU2,protein
STRBP,protein
SUGP1,protein
SUPT6H,protein
TDRD1,protein
THRAP3,protein
TNRC6B,protein
TRA2A,protein
UBAP2L,protein
UBL5,protein
WDR12,protein
WDR33,protein
XRN2,protein
YAF2,protein
YTHDC1,protein
YTHDF2,protein
YTHDF3,protein
ZCCHC8,protein
ZNF326,protein
ZNF385B,protein
ZNF638,protein
ZNF787,protein
COPA,protein
COPG1,protein
COPRS,protein
COPS7A,protein
COPS8,protein
HTR6,protein
MIF,protein
COPZ2,protein
CORO2A,protein
COX20,protein
COX5A,protein
COX7A2,protein
CP,protein
CPNE2,protein
CPSF1,protein
CPT1A,protein
CRBN,protein
EMX2,protein
ENSG00000249141,protein
EPHA10,protein
FAM19A5,protein
KIF26B,protein
PLA2G4B,protein
RAE1,protein
SNAP91,protein
SOD2,protein
TMEM30A,protein
TPR,protein
WTAP,protein
CREB3L1,protein
CREB5,protein
FUT7,protein
IFNA14,cytokine
IFNA7,cytokine
PSMD10,protein
CRHR1,protein
DOCK1,protein
PTPN4,protein
CRLF2,protein
CRTAM,protein
CRYGA,protein
CSE1L,protein
VENTX,protein
SYNCRIP,protein
CSMD2,protein
CSNK1A1,protein
CSRP1,protein
CST5,protein
CST9,protein
CSTF1,protein
HEMGN,protein
THAP11,protein
PROX1,protein
SOX13,protein
CTBS,protein
NOTCH3,protein
CTGF,protein
DHX9,protein
DKK1,protein
FUS,protein
IGFBP2,protein
ITGA10,protein
ITGA11,protein
ITGA2,protein
ITGB6,protein
ITGB8,protein
KANK1,protein
LRRC7,protein
NEK2,protein
PITX2,protein
POU3F2,protein
PRPF6,protein
PTPRU,protein
RABAC1,protein
TYR,protein
TYRP1,protein
VEGFA,protein
CTPS1,protein
CTPS2,protein
CUEDC1,protein
ENSG00000269547,protein
FBXL15,protein
FBXL18,protein
FBXO11,protein
FBXO18,protein
FBXO2,protein
FBXO21,protein
FBXO22,protein
FBXO3,protein
FBXO9,protein
GCM1,protein
KBTBD2,protein
KBTBD6,protein
KBTBD7,protein
KCTD10,protein
KLHDC10,protein
KLHDC2,protein
KLHDC3,protein
KLHL12,protein
KLHL13,protein
KLHL15,protein
KLHL22,protein
KLHL23,protein
KLHL24,protein
KLHL26,protein
KLHL36,protein
KLHL42,protein
KLHL8,protein
KLHL9,protein
LRRC14,protein
ZYG11B,protein
DCAF11,protein
DCAF12,protein
DCAF16,protein
DCAF4,protein
DCAF5,protein
DCAF6,protein
DCAF8,protein
DDA1,protein
DDB2,protein
DTL,protein
ERCC8,protein
VPRBP,protein
WDTC1,protein
LRRC41,protein
GLMN,protein
CXCL12,cytokine
CXCL14,cytokine
MMP8,protein
EHMT1,protein
RPS3,protein
NCSTN,protein
TMED2,protein
DNAH5,protein
NIPSNAP1,protein
PPP2R1A,protein
CXCR3,receptor
CXCR6,receptor
CXorf56,protein
CYP2E1,protein
CYSLTR1,protein
SNX27,protein
CYTH2,protein
DAAM1,protein
DAP3,protein
DAW1,protein
DBN1,protein
DCAF13,protein
DCAF7,protein
DCT,protein
DCTN4,protein
DDX10,protein
DDX21,protein
DDX23,protein
DDX27,protein
DDX31,protein
DDX50,protein
DDX56,protein
PPP1R3A,protein
RAI14,protein
RNF135,protein
RNF5,protein
SEC14L1,protein
TSPAN6,protein
MMP7,protein
DEFA3,protein
DEFB124,protein
HMGN2,protein
DEGS1,protein
DGCR8,protein
DGKA,protein
DGKZ,protein
DHCR7,protein
DHFR,protein
DHX15,protein
DHX30,protein
DHX36,protein
DICER1,protein
NKRF,protein
DHX8,protein
DIDO1,protein
DIRAS3,protein
DISC1,protein
LRRC1,protein
DLGAP1,protein
DLGAP3,protein
DLX4,protein
VPS72,protein
DMBT1,protein
DMC1,protein
DMRT3,protein
DMRTB1,protein
DNAJA1,protein
DNAJA2,protein
DNAJB2,protein
DNAJC6,protein
DNAJC9,protein
DNAL4,protein
DOCK2,protein
DOCK7,protein
DOK1,protein
KCNB1,protein
KCNC1,protein
KCND3,protein
DRAP1,protein
KCNJ9,protein
RWDD1,protein
DSC3,protein
MMP20,protein
DTNBP1,protein
DTX2,protein
DUSP10,protein
DUSP2,protein
KIFAP3,protein
DUSP6,protein
PRPF3,protein
DYDC2,protein
DYNC1LI1,protein
DYNLT1,protein
DYNLT3,protein
DZIP3,protein
H19,protein
SERPINF1,protein
SIN3B,protein
EBF1,protein
EBNA1BP2,protein
ECHS1,protein
ECM1,protein
EDA2R,protein
EDARADD,protein
EDC4,protein
EFTUD2,protein
ENO1,protein
GTF3C1,protein
GTF3C3,protein
GTF3C4,protein
H1F0,protein
HEATR1,protein
HIST1H1C,protein
HNRNPA3,protein
HNRNPH3,protein
HNRNPL,protein
HNRNPR,protein
HNRNPUL2,protein
IMP3,protein
INTS3,protein
KRT19,protein
LIG3,protein
M6PR,protein
MAGT1,protein
NAT10,protein
NIPBL,protein
NOP2,protein
NOP56,protein
NPM3,protein
NUP107,protein
NUP133,protein
NUP160,protein
NUP205,protein
NXF1,protein
OSTC,protein
PBRM1,protein
PDCD11,protein
PDS5B,protein
PKP3,protein
PNO1,protein
PPP1CB,protein
PRPF19,protein
PRPF40A,protein
PRPF8,protein
PWP2,protein
RAB7A,protein
RBM39,protein
RFC5,protein
RPL11,protein
RPL13A,protein
RPL14,protein
RPL18,protein
RPL22,protein
RPL24,protein
RPL7,protein
RPL7A,protein
RPL8,protein
RPS14,protein
RPS23,protein
RPS4X,protein
RSL1D1,protein
SCAF4,protein
SF3B1,protein
SF3B3,protein
SMARCA1,protein
SMCHD1,protein
SNRNP200,protein
SNRPD2,protein
SNRPD3,protein
SNRPF,protein
SRSF10,protein
SRSF3,protein
SRSF6,protein
TBL3,protein
TM7SF2,protein
TRA2B,protein
TRIP12,protein
UTP20,protein
VARS,protein
WDR3,protein
ZNF687,protein
EEF1A2,protein
EEF1GP1,protein
EEF2K,protein
EFNA5,protein
HOXC10,protein
S100A7,protein
SEC13,protein
UBE2V1,protein
EGR2,protein
EN1,protein
EPHB1,protein
ETF1,protein
ETNK2,protein
FKBP5,protein
FOXA3,protein
FOXF2,protein
FUT1,protein
GBP2,protein
GLUL,protein
GNG5,protein
GOLPH3L,protein
GPN3,protein
GPR63,protein
GSTA3,protein
GUK1,protein
HAS1,protein
HAX1,protein
HECTD3,protein
HHEX,protein
HLX,protein
HMMR,protein
IDS,protein
IGSF8,protein
IVNS1ABP,protein
KATNA1,protein
KCNK2,protein
KDM3A,protein
KIF5C,protein
KIR2DL3,protein
KITLG,protein
KMT2B,protein
KRT14,protein
KRT16,protein
LIG1,protein
LPAR3,protein
LPXN,protein
MAP7,protein
MEF2D,protein
MIIP,protein
MIR124-3,protein
MIR125A,protein
MIR130B,protein
MIR135B,protein
MIR141,protein
MIR146B,protein
MIR148A,protein
MIR149,protein
MIR152,protein
MIR183,protein
MIR185,protein
MIR191,protein
MIR199B,protein
MIR200B,protein
MIR219A2,protein
MIR23B,protein
MIR25,protein
MIR27A,protein
MIR301B,protein
MIR30E,protein
MIR32,protein
MIR326,protein
MIR335,protein
MIR425,protein
MIR455,protein
MIR596,protein
MIR642A,protein
MIR95,protein
MIR96,protein
MIR99B,protein
MLLT10,protein
MLLT11,protein
MTAP,protein
MUT,protein
MYADM,protein
MYLIP,protein
MYOC,protein
NAB1,protein
NASP,protein
NFIL3,protein
NOS1,protein
NOSIP,protein
NT5E,protein
OPN4,protein
PANX3,protein
PCYT1A,protein
PDSS1,protein
PER2,protein
PID1,protein
PIP4K2A,protein
PNRC1,protein
PPARD,protein
PPIH,protein
PRCP,protein
PSG1,protein
PSG4,protein
PSG9,protein
PTPN18,protein
PTPRCAP,protein
PTPRN2,protein
RAB40A,protein
RBMY1J,protein
RELT,protein
RHAG,protein
RIF1,protein
RNF168,protein
RTN2,protein
S100A7A,protein
SGCD,protein
SLAMF7,protein
SLC8A1,protein
SLN,protein
SLPI,protein
SOX18,protein
SPOCD1,protein
STXBP3,protein
TBC1D2,protein
TBX2,protein
TCERG1,protein
TIGD6,protein
TIMP2,protein
TLE4,protein
TRIM39,protein
TRIM45,protein
TTLL3,protein
UBE4B,protein
VAMP2,protein
ZDHHC9,protein
ZNF345,protein
ZNF644,protein
PRRC2B,protein
EIF6,protein
FARSA,protein
FARSB,protein
FTSJ3,protein
GLTSCR2,protein
HNRNPCL1,protein
IFRD1,protein
KCTD17,protein
NOC3L,protein
PPP1CC,protein
ZNF346,protein
EIF2AK3,protein
EIF2S1,protein
EIF2S3,protein
EIF3A,protein
EIF3C,protein
EIF3H,protein
EIF3I,protein
EIF3J,protein
EPB41,protein
EIF3L,protein
EIF3M,protein
EIF4A2,protein
EIF4EBP2,protein
